,Question,Answer
551,but i love coffee.,"well, it's your life."
552,you eat too much chocolate.,i don't think so.
553,have you looked in the mirror?,do you think i'm getting fat?
554,i didn't say that.,what did you say?
555,i said i have to go to the bathroom.,that's what i thought you said.
556,"yes, i did.",what did you wash?
557,i washed the sheets and towels.,what about the pillowcases?
558,"yes, i took them off the pillows and washed them.",did you dry everything in the dryer?
559,"yes, i dried everything in the dryer.",then what did you do?
560,i folded all the towels.,did you put the sheets on the beds?
561,"yes, and i put the pillowcases on the pillows.",i listen day and night.
562,what do you listen to?,mostly talk radio.
563,what's that?,people talk about current events.
564,what do they say?,they say they want change.
565,what kind of change?,they want tax cuts.
566,why do they want tax cuts?,because tax cuts will save them money.
567,look in the fridge.,i'm looking. there's nothing to eat.
568,are you sure?,it's almost empty.
569,i went to the market yesterday.,i don't see anything.
570,i bought lots of oranges and apples.,i don't want fruit. i want something tasty.
571,eat the fruit. it's good for you.,"next time you go to the market, let me go with you."
572,"no, thank you. all you want to eat are hot dogs and candy bars.",i don't know. look in the fridge.
573,i think i'll make a sandwich.,what kind?
574,a ham sandwich.,the bread is in the cabinet.
575,where's the mustard?,"it's in the fridge, i think."
576,"oh, yes, here it is. do you want a sandwich?","yes, that sounds nice."
577,how about some potato chips?,"yes. and a pickle, if we have any."
578,"but, mom, i'm not dirty.",you need a bath every day.
579,why?,because you don't want to smell bad.
580,i don't smell bad.,that's what you think.
581,"if i smelled bad, i could smell me.",i can smell you.
582,"i can smell you, too.",that's my perfume.
583,when can i wear perfume?,exactly what?
584,all i get is a black screen.,what's the matter?
585,"i think i know, because this happened before.",what happened before?
586,my hard drive crashed.,"oh, no. that's bad news."
587,"it sure is, but i'm going to call hp first, just to make sure.",will you lose all your files?
588,"no, i always back up my files.",you're smart.
589,what did they say?,they said i need a new hard drive.
590,that's too bad. how much is a new one?,"it's not too much, only about $85."
591,plus installation?,"no, my hard drive is easy to remove and replace."
592,really?,"yes, it's just a couple of screws."
593,that's nice.,it's a lot better than paying someone $60.
594,"if my hard drive crashes, i'll just call you.",it's bluedog123.
595,bluedog123. are you sure that's all?,yes.
596,no. that's incomplete.,what do you mean?
597,what's your mailing address?,"456 cherry drive, pasadena, ca 91170."
598,that's correct.,so what's the problem?
599,"bluedog123 is just the street. you have to give me the city, state, and zip code.","oh, i get it. my email address is bluedog123@yahoo.com."
600,you should unplug the phone.,that's a good idea.
601,do you want me to wake you in an hour?,"no, thanks. just let me sleep until i wake up."
602,i'll start dinner at 6:00.,okay. i think i'll be awake by then.
603,"if not, your nose will wake you up.",you mean i will smell the food cooking?
604,you might even dream about dinner.,i don't think i'm going to dream about anything. i'm really tired.
605,have a nice nap.,"yes, dad, it was."
606,the son gave a nice speech about his father.,"it was long, too."
607,i think it was about 45 minutes long.,but it went by fast. it was interesting.
608,i liked it.,"i'll give you a speech like that, too."
609,do you think anyone will come to my funeral?,of course.
610,i think only the family will be there.,"you have lots of friends. they will be there, too!"
611,i had to blow my nose.,did you have to blow right next to the phone?
612,did you hear that?,of course i heard that. i thought a plane had crashed into your house.
613,it wasn't that loud.,"i will blow my nose sometime for you, and you'll see."
614,okay. i'll take your word for it.,i thought you had an elephant in your house.
615,you're funny.,what did you say? i think i've gone deaf.
616,i'm going into the bathroom to blow my nose. i'll be right back.,really? how many do you have?
617,"i don't know, maybe one hundred.",that is a lot of friends. do you have a best friend?
618,of course. i have lots of best friends.,how many best friends do you have?
619,i think about twenty-five.,hmm. i have only one best friend.
620,i feel sorry for you.,i have only a few friends.
621,you must be lonely. i will share my friends with you.,that's very nice of you.
622,why would i do that?,because men like to cheat.
623,"some men do, but not me.",i'm watching you.
624,i'm an open book. watch me all you want.,"if i catch you, you'll be sorry."
625,"you won't catch me, because i love you. i'm not a cheater.",i will poke your eyes out. 
626,i don't want any other woman.,"i will chop your toes off, one by one."
627,"honey, please. you're the only woman for me, forever. i swear it.",me too.
628,why do you hate to go outside?,i meet too many jerks.
629,i agree.,this city is full of jerks.
630,rude people are everywhere.,but what can you do?
631,you can yell at them.,and they will yell back at you.
632,yelling doesn't do any good.,no. the best thing to do is just stay home.
633,are you having problems with it?,i don't understand some things.
634,let me help you.,"what does ""mi"" mean?"
635,"""mi"" stands for middle initial.","what does ""mm/dd/yy"" mean?"
636,that means month/day/year. use numbers.,i don't understand.
637,"for example, if your birth date is january 12, 1987, write 01/12/87.",oh. that's simple enough.
638,"always print clearly, and fill in the bubbles completely.",what do you want to do?
639,i want to get a puppy for my son.,that will make him so happy.
640,i'll get him one of those little dogs.,one that won't grow up too big.
641,and eat too much.,do you know which one he would like?
642,"oh, yes, i took him there yesterday. he showed me one that he really liked.",i bet you had to drag him away.
643,he wanted to take it home yesterday.,i wonder what he'll name it.
644,i don't know. i just woke up.,why don't you look outside?
645,okay. it looks like rain.,why do you say that?
646,the sky is gray.,is it raining right now?
647,no.,how do you know?
648,the street isn't wet.,i have to go shopping today.
649,you'd better take an umbrella.,it's not even noon yet.
650,that means it will get hotter.,i am dying from the heat.
651,turn on the air conditioner.,it doesn't work.
652,what happened?,i don't know.
653,did you call the repairman?,of course.
654,when is he coming?,he's busy. he said next week.
655,why is that?,because i love the snow.
656,"yes, the snow is fun.",last year we made a big snowman.
657,how big was it?,it was seven feet tall.
658,how long did it take?,it took us all day.
659,did you give him a nose?,of course. we gave him a big carrot for a nose.
660,let me help you make one this year.,what do you need to do?
661,i need to withdraw some money.,how are you going to do that?
662,i'll just use the atm.,what's that?
663,it's the automatic teller machine.,it gives you money?
664,i just insert my debit card into the machine.,and it gives you money?
665,"well, it gives me money, but it's my own money.",oh. what good is that? i thought it gave you free money.
666,"oh, no. i forgot.","well, you'd better take it out front."
667,what time does the recycle truck come by?,"it usually gets here at noon on tuesday, which is tomorrow."
668,i'll just take it out to the street tomorrow morning.,"oh, no, you don't."
669,what do you mean?,every morning you get up late and rush off to work late.
670,do you think i'll forget to do it?,"you'll remember to do it, but you won't have time to do it."
671,"okay, i'll take it out front right now.",ready for what?
672,ready for the big switch.,what are you talking about?
673,the nation is switching to digital tv.,oh. of course i'm ready.
674,did you buy the converter?,"no, i don't need a converter because i bought a digital tv."
675,how much was that?,it was only about $120 for a 13-inch screen.
676,does it pick up any digital channels?,"oh, yes. i get six korean channels but nothing in english!"
677,they sure are.,did you hear about the pilot?
678,the one that stole a small plane?,"yes, he stole a plane in canada and flew into the u.s."
679,did they catch him?,"yes. after two u.s. fighter jets followed him for an hour, he landed on a highway."
680,did he crash?,"no, he just landed the plane and walked to a restaurant."
681,did the cops find out why he flew into the u.s.?,his life sucked. he was hoping a fighter jet would shoot him down.
682,poor guy.,how do you know?
683,the tv news is reporting a bank robbery.,do they know what the robber looks like?
684,"yes, he's 6 feet tall, 200 pounds, black hair, and about 30 years old.",what race is he?
685,they didn't say.,the tv news doesn't tell us the race anymore.
686,of course not. that would be racist.,but how can we identify someone if we don't know their race?
687,don't ask me.,"then they also shouldn't tell us if the robber is male or female, because that is sexist."
688,but i don't have a tissue.,then go find a tissue in the bathroom.
689,i didn't have time to get one from there.,your sleeves are not tissues.
690,"but mom, all my friends use their sleeves.",that doesn't make it right.
691,i saw dad wipe his nose on his sleeve yesterday.,i will talk to your father about that.
692,i bet dad did it all the time when he was my age.,your daddy was a good little boy.
693,"how do you know? were you his mommy, too?",worried about what?
694,i'm getting married.,"you should be happy, not worried."
695,"i am happy, but marriage is a lot of responsibility.","yes, you have to take care of your wife."
696,and i have to take care of our children.,are you going to start a family?
697,yes. we want to have a little boy and a little girl.,that sounds wonderful.
698,except we can't afford it!,no wonder you're worried.
699,or artists.,they're in a different world.
700,i saw a painting of a jar that was full of pencils.,the artist said the jar was both full and empty.
701,but it was full of pencils! how could he say it was empty?,artists see things differently.
702,did you ever see anything that picasso painted?,of course! he's world famous.
703,did he ever take art lessons?,i can't believe it. i drew paintings like that in third grade.
704,where are they? maybe they are worth millions.,the point of what?
705,of living.,"who knows? you live, and then you die."
706,we must be here for some reason.,maybe we're here to have fun.
707,then why aren't i having fun?,because you're thinking too much.
708,so i should stop thinking?,stop thinking about what the point is.
709,okay. i'll start thinking about having some fun.,just be patient. fun doesn't come along every five minutes.
710,so are cigarettes.,which would you prefer?
711,what do you mean?,"when you die and go to heaven, they will offer you beer or cigarettes."
712,i could pick only one or the other?,"yes. nothing's perfect, not even in heaven."
713,"boy, that's a tough one.","what's so tough about it? of course, i would pick cigarettes."
714,but cigarettes taste much better when you have a cold beer.,"well, you can't have everything."
715,i don't think i want to go to your heaven.,you shouldn't carry pens in your pocket.
716,yesterday a pen fell through my pants onto my shoe.,lucky for you it wasn't a sharp knife.
717,who carries a sharp knife in their pocket?,"criminals, of course."
718,"anyway, i have to fix the hole.",you can sew it up or use an iron-on patch.
719,tell me about this patch.,the patch has glue. the hot iron melts the glue so the patch sticks on.
720,that sounds a lot easier than sewing.,"it is. but after about ten washings, the glue washes off."
721,i can't remember jokes.,neither can i.
722,they go in one ear and out the other.,who makes up all these jokes?
723,who knows? but there must be a hundred new ones every day.,"yes, just in english alone."
724,i wonder if every language has jokes.,of course! people everywhere like good jokes.
725,what do you think people joke about the most?,i think most jokes are about women.
726,"oh, really? i think most jokes are about men!",why do you say that?
727,you speak two languages.,"well, my english isn't perfect."
728,no one speaks perfect english.,maybe i will be the first!
729,i've been thinking about learning spanish.,spanish is easy. i'll be happy to teach you.
730,how long will it take me to learn?,i think it will only take you a year or two.
731,how soon can we begin?,ahora! that means right now.
732,"yes, it's april 22.",it's more than just a date.
733,is it your birthday or anniversary?,"no, it's earth day."
734,what's that?,it's a yearly reminder to take care of our planet.
735,"oh, you mean like reuse things and recycle stuff?","yes. we need to think green, save water, and stop using plastic bags."
736,how about if i take shorter showers?,"that's a good idea, because showers waste a lot of water."
737,from now on i'll spend only 20 minutes in the shower.,i don't know anyone who likes it.
738,"some of it is okay, i guess.","yes, the poems that rhyme and are easy to remember."
739,"like ""one, two, buckle my shoe.""",but people still write poems.
740,no one makes any money at it.,shakespeare was a poet.
741,did he get rich from his poetry?,probably not.
742,poems are a little bit like songs.,"yes, but songs have music. without music, songs would suck, too."
743,i don't know. i think i'm average.,did you ever take an iq test?
744,"no, i never did. all i know is that i got a's and b's in school.",i wish i was really smart.
745,don't be ridiculous.,what do you mean?
746,"if you're going to make a wish, wish that you were really rich or famous.",don't you ever wonder what it's like to be super-smart?
747,it must be very lonely.,why's that?
748,"because if you're super-smart, no one understands what you're saying.",nothing that would pass as news.
749,what's the weather going to be like this weekend?,"i don't know. whenever the weather comes on, i switch channels."
750,what was the lead story on the news?,some actress was in court for driving without a license.
751,what was the second story?,some actor married a woman young enough to be his daughter.
752,what was the third story?,a bull chased a man in a supermarket.
753,wasn't there anything about octo-mom?,of course. she's going to hire a nanny for her eight infants.
754,"well, mostly i'll try to avoid it.","i mean, are you going to get buried or cremated?"
755,my wife and i will be cremated.,are you going to be buried next to each other?
756,"oh, no. our ashes will be shaken into the ocean.",you're not going to be buried?
757,a coffin costs too much and takes up too much space.,"yes, but it will be in a cemetery where your children can visit you."
758,children seldom visit their parents in a cemetery.,"that's true. a cemetery is for dead people, not living people."
759,we figure our kids can visit us whenever they go to the beach.,"yes, of course i wiped my feet."
760,then why is there mud on the carpet?,i don't know. it's not my mud.
761,"well, someone brought it into the house.",look at the bottom of my shoesÃ‚â€”they're clean.
762,of course they're clean. you left all the mud on the carpet.,"okay, i'll get the vacuum cleaner."
763,don't vacuum it now.,don't you want me to clean up the mud?
764,wait till it dries. it will be easier to vacuum.,next time i will be more careful.
765,what are you talking about?,sunday is mother's day.
766,this sunday?,of course. it's all over the news.
767,i thought it was next sunday.,"well, you'd better get her something."
768,i'll get her a nice card.,is that it?
769,yes. that's all i ever give her.,"she raised you, and all you ever give her is a card?"
770,it's okay. she knows that i love her.,what's the matter with it?
771,it's too much like other flags.,"yes, a lot of flags have stripes."
772,a flag should be pretty.,what should our flag look like?
773,it should have a pretty woman on it.,that's ridiculous!
774,you don't like pretty women?,of course i do. but not on our flag!
775,every nation should have a pretty woman on their flag.,you can't go to war carrying a flag with a woman on it!
776,what did you do?,i watered all the plants.
777,you have a lot of plants.,then i did my laundry.
778,that takes some time.,i took the dog for a walk.
779,i'll bet he enjoyed his walk.,i vacuumed the entire house.
780,that's a lot of work.,and then i made lunch.
781,i'll bet you were hungry!,so how do you make long distance calls?
782,i use a calling card.,where do you get that?
783,i buy it at the dollar store.,how much is it?
784,it's one dollar for 100 minutes.,that's only a penny a minute!
785,it's a great price. but you have to dial a lot of numbers.,how many?
786,"first you dial seven numbers, then ten numbers, then ten more numbers.",yikes. i think i'll keep my long distance service.
787,"yes, i do.",what college do you go to?
788,i go to pasadena city college.,do you like it?
789,"oh, yes, i really like it.",why do you like it?
790,because it has great teachers.,what else?
791,"i like all my classmates, too.",anything else?
792,yes. it's not expensive!,where did you lose it?
793,i don't know.,when did you lose it?
794,i think i lost it today. i used it yesterday.,did you check all your pockets?
795,i checked all my pockets.,did you look in your desk?
796,"yes. it isn't there, either.",it's probably around somewhere.
797,"oh, well, it only cost me a dollar.",only a dollar? don't even look for it.
798,what is gravity?,it's the force that pulls everything down.
799,i don't understand.,"if you pour water into a glass, the water goes down into the glass."
800,of course it does.,"without gravity, the water would go up."
801,you're joking.,"without gravity, you would go up."
802,what do you mean?,you would float into the sky like a balloon.
803,that would be fun!,turn on the light.
804,the light is on.,open the book.
805,the book is open.,see an eye doctor.
806,that's what i need to do.,he'll give you a prescription for glasses.
807,i'll make an appointment tomorrow.,i'll get the yellow pages for an eye doctor.
808,read the phone number to me.,"i'll read it very loud, in case your hearing is getting bad, too."
809,i need pencils.,anything else?
810,i need a notebook.,do you need a pen?
811,no. i already have a pen.,do you need a calculator?
812,no. the teacher doesn't permit calculators.,how about a dictionary?
813,"no, we have a big dictionary in the classroom.","well, i guess that's it."
814,"yes, that's all i need for now.",so do i.
815,"i read it once, and i subscribed.",it gives you all the news.
816,all the news in only 50 pages.,i like the political cartoons.
817,i like the beautiful photos of the houses for sale.,i always read the film reviews.
818,i never miss the food and drink section.,i gave a subscription to my parents.
819,me too. they canceled their other news magazines.,so did mine!
820,shake it a couple of times.,i shook it. there is no more ink.
821,you can borrow mine.,thank you. i'll buy a new one tomorrow.
822,what were you doing?,i was writing a letter.
823,who were you writing to?,it's to my mom.
824,tell her i said hello.,okay. i'll return your pen when i'm done.
825,take your time.,not yet.
826,then why are you watching tv?,this is my favorite show.
827,go do your homework.,"but, mom!"
828,you can watch tv after you do your homework.,but the show will be over.
829,there will be another show next week.,please?
830,you know the rules.,i hate the rules! i can't wait till i grow up.
831,me too.,no more homework.
832,i hate homework.,are you going to college?
833,i can't afford it.,me neither.
834,so what are you going to do?,i'm joining the army.
835,you're kidding. you might get killed.,"i don't think so. after i finish, i'll have enough money to go to college."
836,that's not a bad idea.,english.
837,what are you going to do with an english major?,i'm going to be a teacher.
838,high school or middle school?,high school.
839,i teach high school english.,i didn't know that.
840,i started teaching five years ago.,how do you like it?
841,do you see all this gray hair? it was totally black five years ago.,maybe i'll teach middle school.
842,i'll say.,i drove around for half an hour.
843,did you find a spot?,"i found a spot, but someone cut in and took it from me."
844,did you yell at them?,"yes, i did."
845,and?,and he yelled back at me.
846,how rude.,but i got lucky a few minutes later.
847,you have to be lucky to find a parking space.,"yes, it has lots of rooms and lots of space."
848,and lots of books.,and lots of thieves.
849,what do you mean?,"i mean, keep your belongings close to you."
850,the only thing in my backpack is used books.,but thieves don't know that.
851,they might think that i've got an ipod or laptop in there.,now you're thinking.
852,you'd think a library would be safe from thieves.,not even a church is safe from thieves.
853,i can add two and two.,so you're not very good at math?
854,i'm terrible at math.,"well, i need some help."
855,with what?,i'm taking a math course in school.
856,"well, you should ask your teacher or your classmates for help.",i can't do that.
857,why not?,they might think i'm stupid.
858,they're not going to think that! they'll be glad to help you.,of course.
859,do you pray to god?,occasionally.
860,when's that?,when i need something.
861,like what?,"well, if i have a big test at school."
862,does god answer your prayers?,"yes, i've passed all my tests."
863,do you ever pray for money?,not yet. i won't need to do that until i graduate from high school.
864,what husband?,the husband of the driver who ran over two college students at 3 a.m.
865,"oh, yeah. the girl died instantly, and the boy is still in the hospital.",the husband said he tried to help the boy.
866,"yes, he pushed him off the hood of the car.","no, he said he gently placed the boy on the street."
867,so what? they still drove off.,the husband said a fire department was nearby.
868,so what? did he dial 911?,"he said he was thinking about it, but he didn't get around to it."
869,"he didn't get around to turning himself in, either.",why not?
870,the seats and windows are dirty.,don't they clean the bus every night?
871,i think they do.,you should bring some wipes with you.
872,that's a good idea.,then you can wipe your seat and window.
873,people will think i'm strange.,who cares? everyone is strange.
874,that's for sure.,don't worry about what people think.
875,why not?,"number one, it's too slow."
876,you're right. a car is faster.,"number two, it's usually late."
877,you're right. the buses are never on time.,"number three, it doesn't run 24 hours."
878,you're right. buses don't run late at night.,"number four, it's too crowded."
879,you're right. you have to stand in the aisle.,"number five, it's unsafe."
880,you're right. bad guys might rob you.,what was the problem?
881,someone cut the tires.,what tires?
882,the tires on the cars.,where were the cars?
883,they were in the student parking lot.,how many tires were cut?
884,one or two tires were cut on each car.,how many cars?
885,eleven cars.,that's terrible. i hope they catch the person.
886,it sure isn't.,i got a ticket yesterday.
887,what for?,i was crossing the street.
888,were you in a crosswalk?,"yes, but the red hand was blinking."
889,so? that's a ticket?,"yes, it's a $140 ticket."
890,that's not right!,"when i started to cross the street, the white walk sign was blinking."
891,you need to walk faster.,why do you say that?
892,the speed limit is 65.,i know that.
893,but you're doing 75.,so is everyone else.
894,but a cop might stop you.,"no, he won't. some cars are doing 85."
895,so the cop will stop those cars?,of course. he stops the fastest cars.
896,my friend got a ticket for doing 75.,your friend was unlucky.
897,how often do i have to do that?,once every two months.
898,that's a lot.,what do you mean?
899,that's six times a year!,"yes, and it takes about five minutes each time."
900,i'll try.,check your tires or you'll get a flat.
901,oh. that's not good.,"no, it isn't. a flat costs you time and money."
902,and i don't have either.,i'm in a hurry.
903,don't ever be in a hurry.,it's not my fault. you didn't wake me up.
904,that's not my fault. you didn't tell me to wake you up.,"well, i meant to."
905,don't ever be in a hurry when you're driving.,why not?
906,because you'll have an accident. most accidents are because people are in a hurry.,how do you know that?
907,i read a lot.,i thought drunks caused most accidents.
908,where are we going?,into the mountains.
909,that sounds nice.,i want to show you my new car.
910,you bought a new car?,yes. i bought a cadillac.
911,a luxury car.,luxury plus speed.
912,what are we waiting for?,let me get the keys.
913,let me get my camera.,why didn't you go before we left?
914,"i did, but i have to go again.","well, hold on a little longer."
915,i think i'm going to explode.,just hold on.
916,oh! don't hit any more bumps!,we'll be at mcdonald's in just a few minutes.
917,i hope they are fast minutes.,think about something else. think about a hamburger.
918,"i'm thinking, but i still have to go.",it's the next exit. hold on!
919,what do you mean?,the car isn't here.
920,where did you park it?,i parked it right here.
921,are you sure?,yes. i remember this big tree.
922,maybe it's the wrong tree.,"no, this is the tree."
923,did someone steal it?,i sure hope not.
924,maybe they towed it away.,i'd rather not.
925,it gets worse every year.,why are you complaining? we're going almost 20 miles an hour.
926,the speed limit is 65!,"well, that's between 2:00 and 4:00 a.m."
927,where are all these people going?,they're all asking the same question.
928,when are they going to fix this problem?,they said they need more money.
929,they always need more money.,it'll get worse before it gets better.
930,"yes, he went through the red light.",can we call the police?
931,"no, the police don't care.",why not?
932,they have to see it happen.,they don't believe us?
933,no. they can only give a ticket if they see it happen.,"so, what do we do?"
934,we don't do anything.,maybe we should honk the horn next time.
935,the driver will just honk back at us.,why don't you wash it?
936,that's what i'm going to do.,are you going to wash it yourself?
937,of course. it's not a hard job.,i'll help you.
938,"okay, i'll get a bucket.",i'll rinse the car first.
939,then we can scrub it with a wet sponge and soap.,"after that, we can dry it with a towel."
940,then it will look like new,and you save $10.
941,paper is flying everywhere.,this wind is dangerous for drivers.
942,especially for drivers of big trucks.,the wind blows those trucks over.
943,"it blows trees over, too.",a tree fell onto my dad's car.
944,was there much damage?,my dad had to buy a new car.
945,wow! that's terrible.,never park your car under a tree.
946,"the wind will get you, or the birds will get you.",we'll stop at the next mcdonald's.
947,how far away is that?,i think we'll be there in half an hour.
948,i hope so. i have to go to the bathroom.,"well, i can always pull over."
949,"no, thank you, i'll just wait.",we can kill two birds with one stone.
950,what do you mean?,"while you're using the bathroom, i'll order some food."
951,don't order for me. i'm not hungry.,"i'm very hungry. i'll order for you, and then i'll eat yours."
952,look how many cars are waiting in line.,they need a left-turn arrow.
953,only two cars can make a left turn every three or four minutes.,we'll be here forever.
954,get out of this lane.,but we need to turn left.
955,forget it. go straight.,then what?
956,then we'll just make a u-turn.,and then we can turn right at the light.
957,good idea. it will be so much quicker.,how much money do you have?
958,"$1,000.","well, that should get you something."
959,but i need something that's reliable.,you need a car with low mileage.
960,a car that was owned by a little old lady.,where have you looked?
961,i haven't looked anywhere yet.,why not?
962,because i'll never find one for such a low price.,you're right about that. keep saving your money.
963,"your driver's license and registration, please.",here you go.
964,do you know why i pulled you over?,i have no idea. all of a sudden i heard your siren.
965,you rolled through that stop sign back there.,but i stopped!
966,"no, you didn't. you slowed down, but you didn't come to a full stop.","well, nobody else does, so why should i?"
967,that's not the attitude of a good driver.,but i am a good driver. i've never had a ticket in my life.
968,"well, you've got one now. here. have a nice day.",what are you talking about?
969,i got a ticket downtown for $140.,were you speeding?
970,"no, i was crossing the street.",were you jaywalking?
971,"no, i was in the crosswalk.",so why did you get a ticket?
972,the officer said the red hand was blinking.,was it blinking when you entered the crosswalk?
973,"no, the white walk sign was blinking.",you should fight that ticket. i'll be your witness.
974,who?,two students from usc.
975,what happened?,"a speeding car ran a red light, killing the girl."
976,what happened to the other student?,he landed on the hood of the car.
977,did he get off the hood?,"no, the car stopped and the passenger pushed the injured student off the hood."
978,i'll bet the car continued on its way.,of course it did. why stop after you've run over two people?
979,i hope they find them and put them in jail for life.,i got a dent in the parking lot.
980,how did you get it?,i don't know. maybe it was from a shopping cart.
981,those shopping carts are dangerous.,especially the metal ones.
982,i don't park at a store that uses metal shopping carts.,"that's a good idea, but there was a good sale at this store."
983,did you save any money on the sale?,"yes, i did. i saved about $50."
984,that's great.,"yes, except this dent will cost about $150."
985,yes. it is a great movie.,i saw it twelve times.
986,i saw it eight times.,i have the dvd.
987,so do i.,let's go to your home.
988,we can watch my dvd.,and then we can go to my home.
989,and watch your dvd.,i always cry at the end.
990,me too. it's so sad.,i don't know any card games.
991,i'll teach you one.,okay. what will you teach me?
992,it's called poker.,is it easy to learn?
993,"yes, it will only take about 30 minutes.",okay. teach me how to play.
994,we each get five cards.,"oh, look. i have four tens."
995,"that's great, but you're not supposed to tell me.","oh. sorry. okay, i don't have four tens."
996,why is that?,because i watch the other players.
997,what do you mean?,people will tell you if they have a good hand.
998,how do they do that?,"for example, a friend of mine licks his lips."
999,"when he licks his lips, you know he has a good hand?","i know he has a good hand, so i don't bet."
1000,he never wins your money?,"nope, and it drives him crazy."
1001,he knows you can't read his mind. maybe he thinks you're cheating.,but i'm listening to it.
1002,"well, listen to it more quietly.",i can't wait till i grow up.
1003,what will you do?,i will play the radio as loud as i want.
1004,that's okay with me.,i will have a radio in every room of my house.
1005,remind me to never visit you.,all the radios will be on extra loud.
1006,your neighbors will hate you.,"if they don't like it, they can move."
1007,your chances are very small.,but you can't win if you don't play.
1008,ha! you can't win if you do play.,someone has to win.
1009,that's what everyone says.,it might as well be me.
1010,that's what everyone says.,you're trying to tell me something.
1011,that didn't take long.,you think i should quit playing.
1012,save your money for school.,nothing much.
1013,what about the baseball game?,it got rained out.
1014,rained out?,"yes, rained out."
1015,how could that be?,"well, you can't play baseball in a rainstorm."
1016,i thought they were playing under a dome.,the dome doesn't close.
1017,why doesn't it close?,who knows? they said they'll fix it before next season.
1018,sure. here you go.,"hmm, that's not bad."
1019,there's nothing in it.,what do you mean?
1020,"i mean, it's just coffee.",i figured that.
1021,it's not too bitter for you?,"it's a little bitter, but it's okay."
1022,there's no sugar or cream in it.,"no, it's a taste you have to get used to."
1023,sort of like beer.,what's the weather like?
1024,let me step outside and see.,"it's a little chilly, right?"
1025,"yes, it is.",i'll put on my cap.
1026,"wear a jacket, too.",i wonder if i should bring my gloves.
1027,"maybe you should, just in case it gets colder.",i'll put a glove in each pocket.
1028,we'll get warmer as we walk.,"yes, but it gets colder as the sun goes down."
1029,that driver is crazy.,i can't believe he hasn't crashed.
1030,how fast is he going?,they say he's going 80 miles per hour.
1031,he's going to kill someone.,look! he just hit that car.
1032,"oh, my goodness. no one is safe on the streets.",now he's slowing down.
1033,maybe he ran out of gas.,look! he just got out of the car and started running.
1034,i hope the police catch him.,they shouldn't even call it news.
1035,last night they told us about a cat in a sofa.,yesterday they told us about a dog in a pipe.
1036,last week they told us about a bear in a back yard.,last month they told us about a mouse in a restaurant.
1037,the weatherman tells us the temperature in every town.,the sports guy shows us players fighting.
1038,"they always tell us ""what's next.""","they always make ""what's next"" sound exciting, but it never is."
1039,it's more like news for kids.,they should have kid reporters.
1040,computers are so cool.,i love to go online.
1041,the internet is amazing.,you can travel all over the world.
1042,i know. i went to china yesterday.,what did you do?
1043,i stood on the great wall and looked all around.,what was it like?
1044,it was like the real thing.,it was like being there?
1045,"yes, i felt like i was actually there.",they are the best musical group ever.
1046,i love all their songs.,i don't know which one i like the best.
1047,i like the ones i can sing along with.,"so do i, like ""she loves you."""
1048,"""she loves you, yeah, yeah, yeah!...""","""Ã‚â€¦and you know you should be glad!"""
1049,what a great song.,"how about ""let it be?"""
1050,"oh, yes! ""let it be, let it beÃ‚â€¦""","""Ã‚â€¦there will be an answer, let it be!"""
1051,i'd rather not.,why not?
1052,you know i don't like crowds.,let's go to an early movie.
1053,"okay, that won't be very crowded.",what would you like to see?
1054,"oh, i don't care. you're the one who wants to go out.","well, i want to see ""the pursuit of happyness."""
1055,what have you heard about it?,it's based on a true story about a divorced man and his young son.
1056,"well, i hope it has a happy ending.",i like to watch people.
1057,that's your favorite thing to do?,"well, it's one of them."
1058,where do you go to watch people?,my girlfriend and i sit outside starbucks.
1059,that sounds like a good spot.,we watch people walk by with their dogs.
1060,i guess you see lots of different dogs.,we don't even know what kind most of them are.
1061,"there are lots of different kinds, but they all have one thing in common.","yes, they love to sniff each other when they meet."
1062,"yes, he was on the tv news today.",every easter sunday he gives away money.
1063,is it his money?,no. movie stars give him money to give to homeless people.
1064,how much money does he give away?,"this year he gave away $15,000."
1065,that's a lot of money.,he gave $100 to people in wheelchairs.
1066,what about the other homeless people?,they got $1 each.
1067,people stood in line just to get one dollar?!,even though they're in black and white.
1068,a good story is more important than color.,actors didn't curse back then.
1069,and there was no violence.,people today don't like that.
1070,"no, today people like lots of action.",i like a good story.
1071,i like to see actors who are like real people.,like real people with real problems.
1072,they still make movies like that.,"yes, but they never make much money."
1073,"yes, everybody gets the public broadcasting system.",it puts me to sleep.
1074,tell me about it.,a gardening show follows a knitting show.
1075,a cooking show follows a sewing show.,a travel show follows another travel show.
1076,i'll say! i've gone around the world a dozen times already!,now they're adding old tv shows to the old movies.
1077,i sure would like to see something interesting for a change.,"if more people donate money, pbs could offer new shows."
1078,who wants to donate? public tv should be free.,is that a tv show?
1079,yes. it's on every afternoon.,what's so good about it?
1080,they have interesting lawsuits.,such as?
1081,"yesterday, a woman complained about a cell phone she bought on ebay.",was something wrong with the phone?
1082,it works only in canada.,did the seller know that?
1083,"yes, and he didn't tell the buyer.",i hope judge judy made the seller take the phone back.
1084,"yes, but she looks like a man.",what difference does it make?
1085,female singers are supposed to be pretty.,singers are supposed to sound good.
1086,"they should look good, too.",there are lots of ugly men singers.
1087,men singers don't have to look good.,then neither do women singers.
1088,"well, i would never buy her cd.",but you would buy her cd if she was pretty?
1089,yes. i would buy all of her cds.,"yes, that will occur next month."
1090,most of them are already broadcasting in digital.,the digital signal is very clear.
